frame,total_ms,raster_ms,other_ms,flushes,tris,binned
339,16.632,14.663,1.969,2,214,3636
340,16.479,14.475,2.004,2,214,3636
341,16.927,14.750,2.176,2,214,3656
342,16.515,14.594,1.921,2,214,3656
343,16.646,14.567,2.079,2,214,3636
344,16.822,14.676,2.146,2,214,3636
345,17.087,15.131,1.956,2,214,3656
346,17.426,15.838,1.587,2,214,3656
347,17.133,15.541,1.592,2,214,3636
348,17.426,15.797,1.628,2,214,3636
349,16.391,14.752,1.638,2,214,3656
350,17.570,15.645,1.925,2,214,3656
351,17.696,15.997,1.699,2,214,3636
352,17.697,16.078,1.619,2,214,3636
353,17.282,15.675,1.607,2,214,3636
354,16.734,14.969,1.765,2,214,3636
355,15.944,14.239,1.705,2,214,3636
356,17.110,14.683,2.426,2,214,3636
357,17.043,14.524,2.519,2,342,3796
358,15.928,14.788,1.140,2,52,3440
359,16.506,14.633,1.873,2,52,3460
360,16.785,14.753,2.032,2,52,3460
361,16.381,14.453,1.928,2,52,3440
362,16.523,14.316,2.206,2,52,3440
363,17.197,14.853,2.344,2,52,3460
364,16.418,14.605,1.813,2,52,3460
365,16.684,14.619,2.065,2,52,3440
366,16.547,14.500,2.047,2,52,3440
367,16.837,14.669,2.169,2,52,3460
368,16.885,14.893,1.993,2,52,3460
369,16.481,14.702,1.778,2,52,3440
370,22.799,16.309,6.489,2,1152,6258
371,21.393,16.196,5.197,2,1152,6278
372,20.738,15.863,4.875,2,1152,6278
373,20.491,15.623,4.868,2,1152,6258
374,20.955,16.065,4.891,2,1152,6258
375,20.764,15.873,4.891,2,1152,6278
376,20.843,15.959,4.883,2,1152,6278
377,21.164,16.394,4.770,2,1152,6258
378,20.815,15.844,4.971,2,1152,6258
379,20.920,16.082,4.838,2,1152,6278
380,20.863,15.970,4.893,2,1152,6278
381,20.541,15.697,4.844,2,1152,6258
382,20.804,15.682,5.122,2,1152,6258
383,20.692,15.836,4.856,2,1152,6278
384,20.851,15.978,4.873,2,1152,6278
385,20.354,15.647,4.707,2,1152,6258
386,20.897,15.837,5.059,2,1152,6258
387,20.814,15.951,4.863,2,1152,6258
388,20.907,16.062,4.845,2,1152,6258
389,20.622,15.752,4.869,2,1152,6258
390,20.529,15.822,4.707,2,1152,6258
391,20.966,15.921,5.044,2,1152,6258
392,21.235,16.020,5.215,2,1152,6258
393,20.813,15.895,4.918,2,1152,6278
394,20.888,16.040,4.848,2,1152,6278
395,20.651,15.793,4.858,2,1152,6258
396,20.741,15.817,4.924,2,1152,6258
397,20.933,16.040,4.893,2,1152,6278
398,21.149,16.284,4.865,2,1152,6278
399,20.994,16.052,4.943,2,1152,6258
400,20.828,15.904,4.924,2,1152,6258
401,20.803,15.921,4.882,2,1152,6278
402,22.169,17.239,4.930,2,1152,6278
403,21.155,16.255,4.901,2,1152,6258
404,20.934,16.056,4.877,2,1152,6258
405,20.919,16.071,4.848,2,1152,6278
406,21.012,16.116,4.895,2,1152,6278
407,20.768,15.982,4.787,2,1152,6258
408,21.200,16.271,4.929,2,1152,6258
409,20.920,16.022,4.898,2,1152,6278
410,21.013,16.121,4.893,2,1152,6278
411,20.666,15.814,4.852,2,1152,6258
412,20.366,15.695,4.671,2,1152,6258
413,20.627,15.953,4.674,2,1152,6278
414,20.491,15.803,4.687,2,1152,6278
415,20.543,15.682,4.861,2,1152,6258
416,20.757,15.717,5.041,2,1152,6258
417,21.052,16.099,4.953,2,1152,6278
418,21.253,15.805,5.448,2,1152,6278
419,21.801,16.819,4.982,2,1152,6258
420,15.717,14.510,1.207,2,52,3440
421,16.787,14.677,2.110,2,52,3440
422,16.548,14.547,2.001,2,52,3440
423,17.977,15.834,2.143,2,52,3440
424,16.424,15.404,1.020,2,52,3440
425,16.620,15.361,1.259,2,52,3440
426,15.986,14.668,1.318,2,52,3440
427,18.149,16.058,2.091,2,52,3460
428,16.758,15.697,1.061,2,52,3460
429,16.810,15.774,1.036,2,52,3440
430,16.462,15.444,1.018,2,52,3440
431,16.459,15.223,1.236,2,52,3460
