# cpu: sse2=1 sse41=1 avx2=1 avx512=1
frame,total_ms,raster_ms,other_ms,flushes,tris,binned,area_px,bbox_px,tw,th,m_tex,m_bilin,m_over,m_add,m_blendoth,m_atest,m_ztest,m_flat,m_linv
90,16.866,5.517,11.348,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
91,16.695,5.541,11.154,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
92,16.487,5.376,11.112,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
93,16.899,5.584,11.315,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
94,16.476,5.410,11.066,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
95,16.893,5.633,11.260,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
96,16.486,5.448,11.038,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
97,16.765,5.560,11.205,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
98,16.429,5.317,11.111,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
99,17.061,5.705,11.355,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
100,16.718,5.758,10.961,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
101,16.253,5.363,10.890,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
102,16.938,5.611,11.326,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
103,16.612,5.550,11.061,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
104,16.483,5.373,11.109,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
105,16.785,5.494,11.291,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
106,16.576,5.417,11.159,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
107,16.590,5.328,11.262,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
108,16.792,5.453,11.339,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
109,16.738,5.533,11.205,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
110,16.503,5.362,11.142,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
111,16.662,5.372,11.290,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
112,16.789,5.479,11.309,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
113,16.543,5.327,11.216,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
114,16.739,5.427,11.311,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
