frame,total_ms,raster_ms,other_ms,flushes,tris,binned,area_px,bbox_px,tw,th
172,16.831,5.863,10.969,2,6,1000,1886436,3773732,2048,1024
173,16.468,5.664,10.804,2,6,1000,1886436,3773732,2048,1024
174,16.756,5.753,11.003,2,6,1000,1886436,3773732,2048,1024
175,16.236,5.324,10.913,2,6,1000,1886436,3773732,2048,1024
176,16.996,5.647,11.349,2,6,1000,1886436,3773732,2048,1024
177,16.297,5.290,11.008,2,6,1000,1886436,3773732,2048,1024
178,16.749,5.366,11.383,2,6,1000,1886436,3773732,2048,1024
179,16.650,5.354,11.297,2,6,1000,1886436,3773732,2048,1024
180,16.796,5.488,11.309,2,6,1000,1886436,3773732,2048,1024
181,16.758,5.576,11.182,2,6,1000,1886436,3773732,2048,1024
182,16.461,5.366,11.095,2,6,1000,1886436,3773732,2048,1024
183,16.672,5.375,11.296,2,6,1000,1886436,3773732,2048,1024
184,16.831,5.533,11.298,2,6,1000,1886436,3773732,2048,1024
185,16.696,5.565,11.132,2,6,1000,1886436,3773732,2048,1024
186,16.430,5.328,11.102,2,6,1000,1886436,3773732,2048,1024
187,16.768,5.431,11.337,2,6,1000,1886436,3773732,2048,1024
188,17.058,5.822,11.236,2,6,1000,1886436,3773732,2048,1024
189,16.614,5.773,10.841,2,6,1000,1886436,3773732,2048,1024
190,16.265,5.365,10.900,2,6,1000,1886436,3773732,2048,1024
191,16.701,5.402,11.299,2,6,1000,1886436,3773732,2048,1024
192,16.643,5.383,11.260,2,6,1000,1886436,3773732,2048,1024
193,16.805,5.516,11.289,2,6,1000,1886436,3773732,2048,1024
194,16.579,5.428,11.151,2,6,1000,1886436,3773732,2048,1024
195,16.691,5.458,11.234,2,6,1000,1886436,3773732,2048,1024
196,16.618,5.413,11.205,2,6,1000,1886436,3773732,2048,1024
197,16.659,5.390,11.269,2,6,1000,1886436,3773732,2048,1024
198,16.533,5.262,11.271,2,6,1000,1886436,3773732,2048,1024
199,16.800,5.397,11.402,2,6,1000,1886436,3773732,2048,1024
200,17.052,5.781,11.270,2,6,1000,1886436,3773732,2048,1024
201,16.260,5.377,10.883,2,6,1000,1886436,3773732,2048,1024
202,16.668,5.372,11.296,2,6,1000,1886436,3773732,2048,1024
203,16.750,5.462,11.288,2,6,1000,1886436,3773732,2048,1024
204,16.579,5.372,11.207,2,6,1000,1886436,3773732,2048,1024
205,16.678,5.383,11.295,2,6,1000,1886436,3773732,2048,1024
206,16.887,5.604,11.283,2,6,1000,1886436,3773732,2048,1024
207,16.950,5.881,11.069,2,6,1000,1886436,3773732,2048,1024
208,16.239,5.458,10.781,2,6,1000,1886436,3773732,2048,1024
209,16.619,5.405,11.214,2,6,1000,1886436,3773732,2048,1024
210,16.646,5.397,11.249,2,6,1000,1886436,3773732,2048,1024
211,16.687,5.412,11.275,2,6,1000,1886436,3773732,2048,1024
212,16.772,5.516,11.256,2,6,1000,1886436,3773732,2048,1024
213,16.413,5.270,11.142,2,6,1000,1886436,3773732,2048,1024
214,16.739,5.344,11.395,2,6,1000,1886436,3773732,2048,1024
215,16.794,5.463,11.331,2,6,1000,1886436,3773732,2048,1024
216,16.585,5.383,11.202,2,6,1000,1886436,3773732,2048,1024
217,16.674,5.396,11.278,2,6,1000,1886436,3773732,2048,1024
218,16.768,5.490,11.277,2,6,1000,1886436,3773732,2048,1024
219,16.493,5.321,11.172,2,6,1000,1886436,3773732,2048,1024
220,16.743,5.394,11.349,2,6,1000,1886436,3773732,2048,1024
221,16.750,5.478,11.271,2,6,1000,1886436,3773732,2048,1024
222,16.495,5.305,11.190,2,6,1000,1886436,3773732,2048,1024
223,16.941,5.585,11.355,2,6,1000,1886436,3773732,2048,1024
224,16.582,5.493,11.089,2,6,1000,1886436,3773732,2048,1024
225,16.787,5.609,11.178,2,6,1000,1886436,3773732,2048,1024
226,16.660,5.609,11.051,2,6,1000,1886436,3773732,2048,1024
227,16.362,5.304,11.058,2,6,1000,1886436,3773732,2048,1024
228,16.648,5.285,11.363,2,6,1000,1886436,3773732,2048,1024
229,16.749,5.374,11.375,2,6,1000,1886436,3773732,2048,1024
230,16.763,5.466,11.297,2,6,1000,1886436,3773732,2048,1024
231,16.610,5.413,11.196,2,6,1000,1886436,3773732,2048,1024
232,16.610,5.357,11.252,2,6,1000,1886436,3773732,2048,1024
233,16.735,5.421,11.314,2,6,1000,1886436,3773732,2048,1024
234,16.684,5.440,11.244,2,6,1000,1886436,3773732,2048,1024
235,16.748,5.527,11.221,2,6,1000,1886436,3773732,2048,1024
236,16.626,5.481,11.145,2,6,1000,1886436,3773732,2048,1024
237,16.520,5.333,11.188,2,6,1000,1886436,3773732,2048,1024
238,16.873,5.547,11.326,2,6,1000,1886436,3773732,2048,1024
239,16.617,5.489,11.128,2,6,1000,1886436,3773732,2048,1024
240,16.842,5.661,11.181,2,6,1000,1886436,3773732,2048,1024
241,16.268,5.262,11.006,2,6,1000,1886436,3773732,2048,1024
242,16.689,5.290,11.399,2,6,1000,1886436,3773732,2048,1024
243,18.899,7.507,11.392,2,8,1640,3524836,6333732,2048,1024
244,16.823,7.665,9.158,2,8,1640,3524836,6333732,2048,1024
245,16.937,7.934,9.003,2,8,1640,3524836,6333732,2048,1024
246,16.224,7.499,8.725,2,8,1640,3524836,6333732,2048,1024
247,16.745,7.569,9.176,2,8,1640,3524836,6333732,2048,1024
248,16.890,7.795,9.095,2,8,1640,3524836,6333732,2048,1024
249,16.510,7.637,8.873,2,8,1640,3524836,6333732,2048,1024
250,16.592,7.558,9.034,2,8,1640,3524836,6333732,2048,1024
251,16.639,7.536,9.103,2,8,1640,3524836,6333732,2048,1024
252,16.517,7.385,9.132,2,8,1640,3524836,6333732,2048,1024
253,16.967,7.684,9.283,2,8,1640,3524836,6333732,2048,1024
254,16.518,7.539,8.979,2,8,1640,3524836,6333732,2048,1024
255,16.573,7.447,9.126,2,8,1640,3524836,6333732,2048,1024
256,16.740,7.518,9.222,2,8,1640,3524836,6333732,2048,1024
257,16.700,7.551,9.149,2,8,1640,3524836,6333732,2048,1024
258,16.614,7.500,9.114,2,8,1640,3524836,6333732,2048,1024
259,17.309,8.142,9.167,2,8,1640,3524836,6333732,2048,1024
260,16.416,7.892,8.524,2,8,1640,3524836,6333732,2048,1024
261,16.713,7.938,8.776,2,8,1640,3524836,6333732,2048,1024
262,16.703,7.974,8.729,2,8,1640,3524836,6333732,2048,1024
263,16.741,8.048,8.692,2,8,1640,3524836,6333732,2048,1024
264,16.603,7.984,8.618,2,8,1640,3524836,6333732,2048,1024
265,16.314,7.625,8.689,2,8,1640,3524836,6333732,2048,1024
266,16.463,7.428,9.035,2,8,1640,3524836,6333732,2048,1024
267,16.774,7.527,9.246,2,8,1640,3524836,6333732,2048,1024
268,16.919,7.786,9.133,2,8,1640,3524836,6333732,2048,1024
269,16.292,7.413,8.879,2,8,1640,3524836,6333732,2048,1024
270,16.809,7.561,9.248,2,8,1640,3524836,6333732,2048,1024
271,16.598,7.488,9.110,2,8,1640,3524836,6333732,2048,1024
272,16.652,7.471,9.181,2,8,1640,3524836,6333732,2048,1024
