frame,total_ms,raster_ms,other_ms,flushes,tris,binned
440,25.462,20.402,5.060,2,1152,6258
441,25.150,20.211,4.939,2,1152,6258
442,25.145,20.248,4.897,2,1152,6278
443,25.763,20.599,5.164,2,1152,6278
444,25.205,20.237,4.968,2,1152,6258
445,25.320,20.479,4.841,2,1152,6258
446,25.398,20.420,4.978,2,1152,6258
447,25.618,20.409,5.209,2,1152,6258
448,25.092,19.927,5.166,2,1152,6258
449,26.562,21.614,4.948,2,1152,6258
450,25.981,20.873,5.108,2,1152,6258
451,25.328,20.348,4.979,2,1152,6258
452,25.666,20.723,4.943,2,1152,6278
453,25.349,20.370,4.979,2,1152,6278
454,25.175,20.238,4.937,2,1152,6258
455,25.338,20.301,5.037,2,1152,6258
456,25.205,20.490,4.715,2,1152,6278
457,25.398,20.436,4.962,2,1152,6278
458,25.443,20.546,4.897,2,1152,6258
459,25.357,20.433,4.924,2,1152,6258
460,25.194,20.257,4.938,2,1152,6278
461,25.342,20.439,4.903,2,1152,6278
462,25.421,20.688,4.733,2,1152,6258
463,25.444,20.369,5.075,2,1152,6258
464,19.712,18.700,1.013,2,52,3460
465,19.678,18.604,1.073,2,52,3460
466,19.769,18.728,1.041,2,52,3440
467,19.422,18.306,1.116,2,52,3440
468,19.706,18.684,1.022,2,52,3460
469,19.758,18.709,1.049,2,52,3460
470,19.285,18.273,1.012,2,52,3440
471,19.572,18.556,1.015,2,52,3440
472,21.509,20.473,1.036,2,52,3460
473,20.998,19.957,1.041,2,52,3460
474,21.338,20.309,1.029,2,52,3440
475,20.845,19.570,1.275,2,52,3440
476,22.023,21.012,1.011,2,52,3460
477,21.915,20.843,1.072,2,52,3460
478,19.521,18.462,1.059,2,52,3440
479,19.186,18.169,1.017,2,52,3440
480,20.113,19.087,1.027,2,52,3440
481,19.717,18.648,1.069,2,52,3440
482,19.320,18.294,1.026,2,52,3440
483,19.483,18.395,1.088,2,52,3440
484,19.596,18.515,1.080,2,52,3440
485,19.752,18.692,1.060,2,52,3440
486,19.581,18.560,1.021,2,52,3460
487,19.814,18.771,1.042,2,52,3460
488,19.745,18.655,1.091,2,52,3440
489,19.610,18.542,1.067,2,52,3440
490,20.468,19.468,1.000,2,52,3460
491,20.045,18.990,1.055,2,52,3460
492,19.616,18.515,1.101,2,52,3440
493,19.757,18.673,1.083,2,52,3440
494,19.471,18.440,1.030,2,52,3460
495,19.793,18.736,1.057,2,52,3460
496,20.785,19.703,1.083,2,52,3440
497,20.128,19.084,1.045,2,52,3440
498,19.987,18.922,1.065,2,52,3460
499,19.634,18.605,1.029,2,52,3460
500,19.745,18.710,1.035,2,52,3440
501,19.517,18.492,1.024,2,52,3440
502,19.536,18.538,0.997,2,52,3460
503,19.831,18.784,1.047,2,52,3460
504,19.554,18.509,1.045,2,52,3440
505,19.459,18.437,1.021,2,52,3440
506,19.557,18.536,1.021,2,52,3460
507,19.534,18.531,1.003,2,52,3460
508,19.280,18.282,0.998,2,52,3440
509,19.606,18.473,1.133,2,52,3440
510,19.570,18.561,1.009,2,52,3460
511,19.676,18.682,0.993,2,52,3460
512,19.823,18.707,1.116,2,52,3440
513,19.755,18.696,1.059,2,52,3440
514,19.470,18.475,0.995,2,52,3440
515,19.798,18.722,1.076,2,52,3440
516,20.000,18.849,1.152,2,52,3440
517,19.938,18.775,1.163,2,52,3440
518,19.592,18.575,1.016,2,52,3440
519,23.567,22.552,1.015,2,54,4080
520,23.722,22.644,1.078,2,54,4100
521,23.675,22.613,1.063,2,54,4100
522,23.680,22.509,1.171,2,54,4080
523,23.622,22.576,1.046,2,54,4080
524,23.693,22.670,1.024,2,54,4100
525,23.848,22.834,1.014,2,54,4100
526,24.100,23.020,1.081,2,54,4080
527,24.040,22.912,1.128,2,54,4080
528,23.935,22.904,1.031,2,54,4100
529,25.124,24.019,1.105,2,54,4100
530,24.647,23.546,1.101,2,54,4080
531,23.749,22.695,1.054,2,54,4080
532,23.584,22.526,1.058,2,54,4100
533,23.760,22.720,1.040,2,54,4100
534,23.444,22.420,1.024,2,54,4080
535,23.293,22.226,1.067,2,54,4080
536,23.712,22.669,1.043,2,54,4100
537,23.711,22.597,1.114,2,54,4100
538,24.182,23.134,1.048,2,54,4080
539,23.644,22.427,1.217,2,54,4080
540,24.185,23.105,1.081,2,54,4100
541,23.759,22.655,1.103,2,54,4100
542,25.910,24.835,1.075,2,54,4080
543,26.292,25.175,1.117,2,54,4080
544,24.922,23.863,1.059,2,54,4100
545,24.984,23.911,1.073,2,54,4100
546,26.327,25.197,1.130,2,54,4080
547,25.353,24.047,1.306,2,54,4080
548,26.574,25.453,1.121,2,54,4080
549,25.750,24.491,1.258,2,54,4080
550,26.707,25.668,1.039,2,54,4080
551,24.562,23.527,1.035,2,54,4080
552,23.502,22.420,1.082,2,54,4080
553,23.762,22.616,1.147,2,54,4080
554,23.943,22.866,1.077,2,54,4100
555,26.093,24.915,1.178,2,54,4100
556,24.181,22.904,1.277,2,54,4080
557,28.001,26.904,1.098,2,54,4080
558,24.752,23.651,1.101,2,54,4100
559,23.481,22.415,1.066,2,54,4100
560,23.772,22.628,1.144,2,54,4080
561,23.428,22.382,1.046,2,54,4080
562,23.920,22.854,1.066,2,54,4100
563,24.225,23.085,1.140,2,54,4100
564,23.913,22.822,1.091,2,54,4080
565,23.390,22.287,1.103,2,54,4080
566,23.728,22.654,1.074,2,54,4100
567,24.446,23.345,1.101,2,54,4100
568,24.196,23.135,1.060,2,54,4080
569,24.267,23.182,1.084,2,54,4080
570,24.839,23.657,1.182,2,54,4100
571,24.289,23.206,1.083,2,54,4100
572,23.349,22.264,1.084,2,54,4080
573,61.679,38.216,23.463,2,1312,10848
574,47.097,41.381,5.715,2,1328,11398
575,46.907,41.289,5.618,2,1320,11380
576,47.674,41.788,5.886,2,1320,11342
577,47.205,41.475,5.730,2,1320,11334
578,46.608,40.859,5.749,2,1320,11334
579,48.765,42.866,5.899,2,1320,11338
580,47.667,41.945,5.722,2,1320,11314
581,46.830,41.182,5.648,2,1320,11306
582,46.982,41.319,5.663,2,1320,11310
583,47.079,41.320,5.759,2,1320,11310
584,47.077,41.394,5.682,2,1320,11298
585,46.663,40.894,5.770,2,1320,11294
586,47.414,41.647,5.767,2,1320,11294
587,47.065,41.361,5.704,2,1320,11294
588,49.077,43.410,5.668,2,1320,11308
589,48.071,42.364,5.707,2,1312,11286
590,51.988,46.324,5.664,2,1312,11282
591,47.844,42.105,5.739,2,1312,11286
592,47.141,41.514,5.627,2,1312,11312
593,47.266,41.631,5.635,2,1312,11308
594,47.512,41.299,6.214,2,1312,11320
595,47.301,41.449,5.851,2,1312,11324
596,47.670,41.770,5.900,2,1312,11324
597,47.383,41.645,5.738,2,1312,11316
598,47.439,41.337,6.102,2,1312,11320
599,46.965,41.258,5.707,2,1312,11324
600,47.970,42.269,5.701,2,1312,11336
601,48.469,42.438,6.031,2,1312,11316
602,47.406,41.470,5.936,2,1312,11328
603,46.839,41.241,5.597,2,1312,11332
604,46.977,41.405,5.572,2,1312,11336
605,47.413,41.603,5.810,2,1312,11328
606,47.208,41.467,5.741,2,1312,11332
607,47.458,41.655,5.803,2,1312,11332
608,47.487,41.433,6.054,2,1312,11316
609,46.942,41.313,5.629,2,1312,11300
610,46.937,41.140,5.797,2,1312,11296
611,46.807,41.168,5.639,2,1312,11296
612,47.160,41.425,5.735,2,1312,11284
613,47.204,41.645,5.560,2,1312,11284
614,47.062,41.297,5.765,2,1312,11264
615,46.969,41.224,5.745,2,1312,11268
616,47.494,41.414,6.080,2,1312,11268
617,47.163,41.518,5.645,2,1312,11264
618,47.461,41.657,5.804,2,1312,11292
619,47.624,41.594,6.029,2,1312,11284
620,49.035,43.259,5.776,2,1312,11284
621,50.397,44.591,5.806,2,1312,11264
622,48.196,42.340,5.856,2,1312,11296
623,46.392,40.541,5.851,2,1312,11288
624,46.373,40.684,5.689,2,1312,11316
625,46.833,41.150,5.683,2,1312,11320
626,46.863,40.852,6.011,2,1312,11308
627,45.554,39.886,5.668,2,1318,11184
628,45.999,40.258,5.741,2,1318,11244
629,45.239,39.516,5.723,2,1318,11224
630,45.141,39.489,5.651,2,1318,11228
631,45.129,39.388,5.741,2,1318,11216
632,45.039,39.312,5.727,2,1318,11264
633,45.184,39.450,5.733,2,1318,11248
634,45.236,39.627,5.609,2,1318,11248
635,45.797,39.835,5.962,2,1318,11248
636,45.616,40.003,5.613,2,1318,11252
637,45.963,40.086,5.876,2,1318,11252
638,45.830,40.027,5.802,2,1318,11248
639,47.763,41.756,6.006,2,1318,11252
640,45.898,39.968,5.931,2,1318,11224
641,46.844,40.625,6.219,2,1318,11220
642,45.551,39.821,5.730,2,1318,11220
643,47.974,42.296,5.678,2,1318,11224
644,46.956,41.095,5.860,2,1318,11208
645,45.713,40.082,5.631,2,1318,11200
646,45.738,39.856,5.882,2,1316,11196
647,5.408,4.446,0.962,1,2,480
648,16.582,4.361,12.221,1,2,480
649,16.750,4.446,12.304,1,2,480
650,16.670,4.450,12.220,1,2,480
651,16.609,4.392,12.218,1,2,480
652,16.733,4.460,12.274,1,2,480
653,16.514,4.307,12.206,1,2,480
